SW-Dirty Alley,Coldstream Homestead Montebello,27,36,79,54,21,32,56,39,32,38,29,40,52,54,56,44,54,40,58,35,47,69,38,54,49,32,38,49,35,50,63,80,43,29,30,38,53,50,32,18,24,38,37,28,36,35,27,22,48,22,55,68,47,39,45,43,51,35,26,31,34,26,34,21,36,67,62,69,54,46,48,57,55,45,63,46,106,182,90,56,60,33,23,28
SW-Dirty Alley,Concerned Citizens Of Forest Park,4,6,7,6,8,6,4,5,5,6,2,1,8,5,6,6,5,4,4,3,3,5,4,9,4,5,5,7,2,2,2,4,2,2,5,1,6,4,1,1,1,2,4,1,3,5,8,3,3,11,5,4,11,4,8,11,8,2,5,7,6,3,8,6,7,8,8,7,11,5,6,3,8,8,9,9,8,10,9,3,4,10,5,3
SW-Dirty Alley,Coppin Heights/Ash-Co-East,22,9,12,10,17,19,10,16,26,19,16,10,15,19,21,31,16,12,15,15,20,12,13,24,18,20,36,35,25,25,27,31,29,12,15,18,7,5,9,3,6,12,13,16,16,8,8,4,15,11,17,21,14,12,16,8,13,6,4,4,9,3,7,6,12,9,16,7,9,12,16,3,20,9,9,15,8,8,15,12,9,5,16,17
SW-Dirty Alley,Cross Country,,1,2,,,,,,1,,2,,1,1,2,2,1,,,4,,1,1,,1,,1,2,2,2,,2,3,2,,2,2,1,,,1,1,1,,1,,1,,1,,2,2,,1,,1,,,,,,,4,,1,,,,,,1,1,1,,,2,1,,,,,,,
SW-Dirty Alley,Cross Keys,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW-Dirty Alley,Curtis Bay,15,14,14,19,13,14,26,27,20,16,14,22,13,27,12,21,24,39,24,39,17,24,13,10,27,12,26,30,14,23,33,29,16,38,30,20,22,9,18,8,16,21,29,23,26,24,7,7,14,12,19,25,24,24,22,35,24,13,14,17,32,20,33,26,20,34,40,42,48,32,21,18,29,58,22,25,52,53,45,63,33,28,34,36
SW-Dirty Alley,Curtis Bay Industrial Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW-Dirty Alley,Cylburn,3,2,2,3,1,5,1,,,4,,1,1,2,,6,1,2,1,3,,1,,3,2,1,1,2,,2,2,6,1,6,3,3,1,3,2,,1,1,3,1,5,10,1,2,2,,4,6,1,2,15,2,2,3,,,2,3,1,3,1,,2,1,1,1,6,3,3,3,2,3,1,,5,2,,2,4,2
SW-Dirty Alley,Darley Park,23,9,14,8,2,9,7,9,4,10,11,22,17,19,11,15,20,24,11,5,2,13,5,16,4,7,16,11,4,5,6,13,2,2,2,3,10,7,4,3,5,2,7,8,9,4,6,4,13,7,9,12,8,6,11,10,9,2,5,5,11,2,11,7,11,8,7,10,12,8,3,6,11,2,6,11,5,6,12,4,13,7,5,8
SW-Dirty Alley,Dickeyville,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,
SW-Dirty Alley,Dolfield,1,3,1,2,3,3,2,1,,2,3,2,2,2,6,7,7,3,2,2,2,,,4,1,4,,3,2,2,1,2,1,6,7,,2,,2,2,6,,2,1,3,4,2,2,,,1,2,2,3,2,,,1,5,1,2,2,2,3,3,1,1,2,5,1,3,1,1,3,2,2,1,2,,6,2,2,1,
SW-Dirty Alley,Dorchester,5,2,5,5,1,3,4,5,3,6,2,1,8,2,5,6,13,3,,13,5,4,2,2,5,4,10,11,5,1,5,7,9,9,10,,1,1,2,2,2,1,2,,1,2,13,1,6,2,5,4,3,4,3,6,5,2,2,,4,2,6,4,,3,3,17,4,1,3,7,10,1,6,3,3,2,5,4,3,3,,1
SW-Dirty Alley,Downtown,12,8,16,20,22,28,17,24,8,13,3,15,13,16,11,19,25,23,30,23,16,21,11,12,12,20,20,22,6,25,25,38,18,24,3,18,10,20,3,6,8,21,22,25,30,12,17,13,13,12,19,32,9,18,25,20,22,20,8,6,13,5,27,18,17,15,20,18,16,16,7,11,9,23,11,12,17,15,14,14,21,11,9,13
SW-Dirty Alley,Downtown West,,,,,2,,,1,1,,,,,,,1,,,,,1,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,1,,4,,,,,,,1,,
SW-Dirty Alley,Druid Heights,3,31,13,9,11,14,14,19,16,16,9,15,6,9,10,13,9,17,14,14,9,13,11,16,15,12,12,11,11,17,9,14,6,8,13,14,16,5,6,6,9,12,15,9,5,8,22,8,6,4,20,22,9,10,16,20,9,7,9,5,14,14,9,10,8,7,11,14,12,10,8,10,26,9,11,13,22,13,24,18,19,16,19,29
SW-Dirty Alley,Druid Hill Park,,,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,1,,,,,,,1,3,,,,,,
SW-Dirty Alley,DULANY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SW-Dirty Alley,Dunbar-Broadway,,1,2,1,,,,,,,1,1,,,1,1,,1,,1,,1,,,,,,2,,1,1,,1,,,,,,,,,,,1,,,,,1,,,1,4,,2,,,,,,1,1,,,1,1,,,,,,,1,,1,,,,,,,,,
SW-Dirty Alley,DUNDALK AVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SW-Dirty Alley,E 22 1/2 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SW-Dirty Alley,E FAIRMOUNT AVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
SW-Dirty Alley,E FAYETTE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SW-Dirty Alley,E FEDERAL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SW-Dirty Alley,E PATAPSCO AVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
SW-Dirty Alley,East Arlington,1,3,1,6,4,3,3,6,2,1,2,3,9,2,4,2,6,5,2,5,1,3,4,3,2,3,4,2,4,3,2,4,4,5,,1,,2,,1,1,2,3,,1,4,,4,5,,,3,,1,1,6,4,3,2,2,1,,4,2,2,4,,2,,,2,3,3,3,1,,3,2,,1,2,4,1,3
SW-Dirty Alley,East Baltimore Midway,37,41,75,31,30,34,52,27,33,30,46,31,45,40,54,64,41,44,35,37,29,40,31,32,36,30,39,33,27,23,32,31,33,18,16,17,27,29,15,1,16,12,24,18,23,21,19,15,14,13,25,37,31,29,25,28,30,24,25,12,11,19,42,33,26,35,43,37,23,18,22,30,27,27,32,24,34,33,31,21,21,19,31,24
SW-Dirty Alley,Easterwood,10,9,12,12,11,12,12,17,10,12,18,26,29,18,18,17,25,13,21,33,17,15,14,30,21,9,19,22,19,32,17,12,18,19,13,15,17,3,7,7,3,7,7,7,18,10,8,4,9,9,13,16,18,9,16,6,19,13,9,7,8,9,4,1,7,11,14,7,10,8,3,8,9,5,18,11,16,16,12,21,14,11,14,12
SW-Dirty Alley,Eastwood,,,,,,2,,1,,,1,,,,,,,1,,,,1,1,,,,,,,2,1,,1,,,2,,,1,1,1,,,3,1,1,1,,,,2,,2,1,1,,,2,,4,2,,3,2,1,,1,4,,2,3,1,3,,2,1,2,,3,1,2,,1,
